Date : 2023-07-17 18:32:18
Directory : /Users/jakehumphrey/avixoh-admin
Total : 113 files,  12498 codes, 21 comments, 812 blanks, all 13331 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      6,665 |          0 |          3 |      6,668 |
| TypeScript JSX     |         77 |      4,289 |         15 |        482 |      4,786 |
| TypeScript         |         23 |      1,240 |          0 |        278 |      1,518 |
| Prisma             |          1 |        122 |          2 |         21 |        145 |
| JavaScript         |          3 |         89 |          2 |          3 |         94 |
| CSS                |          1 |         61 |          0 |         23 |         84 |
| JSON with Comments |          1 |         26 |          2 |          1 |         29 |
| Markdown           |          1 |          4 |          0 |          1 |          5 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        113 |     12,498 |         21 |        812 |     13,331 |
| . (Files)                                                                                                                  |         10 |      6,791 |          4 |         10 |      6,805 |
| actions                                                                                                                    |          5 |        100 |          0 |         19 |        119 |
| app                                                                                                                        |         58 |      3,558 |         15 |        502 |      4,075 |
| app (Files)                                                                                                                |          2 |         91 |          0 |         27 |        118 |
| app/(auth)                                                                                                                 |          3 |         19 |          0 |          2 |         21 |
| app/(auth) (Files)                                                                                                         |          1 |         11 |          0 |          0 |         11 |
| app/(auth)/(routes)                                                                                                        |          2 |          8 |          0 |          2 |         10 |
| app/(auth)/(routes)/sign-in                                                                                                |          1 |          4 |          0 |          1 |          5 |
| app/(auth)/(routes)/sign-in/[[...sign-in]]                                                                                 |          1 |          4 |          0 |          1 |          5 |
| app/(auth)/(routes)/sign-up                                                                                                |          1 |          4 |          0 |          1 |          5 |
| app/(auth)/(routes)/sign-up/[[...sign-up]]                                                                                 |          1 |          4 |          0 |          1 |          5 |
| app/(dashboard)                                                                                                            |         37 |      2,296 |         15 |        210 |      2,521 |
| app/(dashboard)/[storeId]                                                                                                  |         37 |      2,296 |         15 |        210 |      2,521 |
| app/(dashboard)/[storeId] (Files)                                                                                          |          1 |         31 |          0 |          5 |         36 |
| app/(dashboard)/[storeId]/(routes)                                                                                         |         36 |      2,265 |         15 |        205 |      2,485 |
| app/(dashboard)/[storeId]/(routes) (Files)                                                                                 |          1 |         82 |          0 |          4 |         86 |
| app/(dashboard)/[storeId]/(routes)/billboards                                                                              |          6 |        326 |          0 |         34 |        360 |
| app/(dashboard)/[storeId]/(routes)/billboards (Files)                                                                      |          1 |         31 |          0 |          4 |         35 |
| app/(dashboard)/[storeId]/(routes)/billboards/[billboardId]                                                                |          2 |        163 |          0 |         14 |        177 |
| app/(dashboard)/[storeId]/(routes)/billboards/[billboardId] (Files)                                                        |          1 |         21 |          0 |          3 |         24 |
| app/(dashboard)/[storeId]/(routes)/billboards/[billboardId]/components                                                     |          1 |        142 |          0 |         11 |        153 |
| app/(dashboard)/[storeId]/(routes)/billboards/components                                                                   |          3 |        132 |          0 |         16 |        148 |
| app/(dashboard)/[storeId]/(routes)/brands                                                                                  |          6 |        326 |          0 |         34 |        360 |
| app/(dashboard)/[storeId]/(routes)/brands (Files)                                                                          |          1 |         32 |          0 |          4 |         36 |
| app/(dashboard)/[storeId]/(routes)/brands/[brandId]                                                                        |          2 |        157 |          0 |         14 |        171 |
| app/(dashboard)/[storeId]/(routes)/brands/[brandId] (Files)                                                                |          1 |         21 |          0 |          3 |         24 |
| app/(dashboard)/[storeId]/(routes)/brands/[brandId]/components                                                             |          1 |        136 |          0 |         11 |        147 |
| app/(dashboard)/[storeId]/(routes)/brands/components                                                                       |          3 |        137 |          0 |         16 |        153 |
| app/(dashboard)/[storeId]/(routes)/categories                                                                              |          6 |        363 |          0 |         35 |        398 |
| app/(dashboard)/[storeId]/(routes)/categories (Files)                                                                      |          1 |         35 |          0 |          4 |         39 |
| app/(dashboard)/[storeId]/(routes)/categories/[categoryId]                                                                 |          2 |        190 |          0 |         15 |        205 |
| app/(dashboard)/[storeId]/(routes)/categories/[categoryId] (Files)                                                         |          1 |         29 |          0 |          4 |         33 |
| app/(dashboard)/[storeId]/(routes)/categories/[categoryId]/components                                                      |          1 |        161 |          0 |         11 |        172 |
| app/(dashboard)/[storeId]/(routes)/categories/components                                                                   |          3 |        138 |          0 |         16 |        154 |
| app/(dashboard)/[storeId]/(routes)/orders                                                                                  |          3 |        110 |          0 |         11 |        121 |
| app/(dashboard)/[storeId]/(routes)/orders (Files)                                                                          |          1 |         46 |          0 |          4 |         50 |
| app/(dashboard)/[storeId]/(routes)/orders/components                                                                       |          2 |         64 |          0 |          7 |         71 |
| app/(dashboard)/[storeId]/(routes)/products                                                                                |          6 |        581 |         15 |         36 |        632 |
| app/(dashboard)/[storeId]/(routes)/products (Files)                                                                        |          1 |         42 |          0 |          4 |         46 |
| app/(dashboard)/[storeId]/(routes)/products/[productId]                                                                    |          2 |        382 |         15 |         17 |        414 |
| app/(dashboard)/[storeId]/(routes)/products/[productId] (Files)                                                            |          1 |         44 |          0 |          6 |         50 |
| app/(dashboard)/[storeId]/(routes)/products/[productId]/components                                                         |          1 |        338 |         15 |         11 |        364 |
| app/(dashboard)/[storeId]/(routes)/products/components                                                                     |          3 |        157 |          0 |         15 |        172 |
| app/(dashboard)/[storeId]/(routes)/settings                                                                                |          2 |        151 |          0 |         17 |        168 |
| app/(dashboard)/[storeId]/(routes)/settings (Files)                                                                        |          1 |         34 |          0 |          7 |         41 |
